718,,,,,,,,0103000020E610000001000000070000000000000012E9484000000080812C4440000000C01CE9484000000000762C44400000006012E9484000000060702C4440000000000DE9484000000040762C4440000000400AE94840000000C0742C44400000000005E94840000000607A2C44400000000012E9484000000080812C4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,"{""building"": ""manufacture""}",1080122419,1658350114
719,,,,,,,,0103000020E61000000100000005000000000000000DE9484000000020F82C4440000000E001E9484000000080F82C44400000004002E9484000000060FE2C4440000000400DE9484000000000FE2C4440000000000DE9484000000020F82C4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222450,1385831969
720,,,,,,,,0103000020E6100000010000000500000000000080FCE8484000000000042D444000000060F6E8484000000040042D4440000000E0F6E84840000000E00A2D444000000000FDE84840000000800A2D444000000080FCE8484000000000042D4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222464,1385831970
721,,,,,,,,0103000020E61000000100000005000000000000C00DE94840000000C0092D44400000006008E94840000000A0092D44400000004008E94840000000600E2D4440000000A00DE94840000000600E2D4440000000C00DE94840000000C0092D4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222479,1385831971
722,,,,,,,,0103000020E61000000100000005000000000000202DE9484000000080EB2C4440000000E02BE9484000000040E82C4440000000A028E9484000000000E92C4440000000E029E9484000000020EC2C4440000000202DE9484000000080EB2C4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222457,1385831970
723,,,,,,,,0103000020E610000001000000050000000000006079E9484000000060EB2C4440000000E078E9484000000020EA2C44400000006074E9484000000020EB2C4440000000E074E9484000000060EC2C44400000006079E9484000000060EB2C4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222446,1658438114
724,,,,,,,,0103000020E61000000100000005000000000000E079E9484000000040F42C44400000008078E9484000000040F32C44400000000077E94840000000A0F42C44400000006078E94840000000A0F52C4440000000E079E9484000000040F42C4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222454,1658438114
725,,,,,,,,0103000020E610000001000000050000000000002025E94840000000E0F52C4440000000A021E94840000000E0F62C44400000008022E94840000000E0F82C44400000002026E9484000000000F82C44400000002025E94840000000E0F52C4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222467,1658438114
726,,,,,,,,0103000020E61000000100000008000000000000001EE94840000000A0FC2C4440000000E01EE9484000000080FA2C4440000000E01FE9484000000060F92C44400000008022E94840000000E0F82C4440000000A021E94840000000E0F62C4440000000601BE9484000000060F82C4440000000801AE9484000000000FC2C4440000000001EE94840000000A0FC2C4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222483,1658438114
727,Teleqüllə,,,,,,,0103000020E61000000100000013000000000000205DE9484000000080002D4440000000C05CE94840000000E0012D4440000000005DE9484000000000032D4440000000605DE9484000000020042D4440000000805EE9484000000020052D44400000002060E94840000000C0052D44400000006062E9484000000040062D4440000000A064E9484000000040062D4440000000A066E94840000000E0052D44400000000068E9484000000060052D44400000004069E9484000000040042D4440000000E069E9484000000060032D4440000000C06AE9484000000060022D4440000000E06AE9484000000060012D4440000000C06AE9484000000000002D44400000000068E94840000000A0F22C44400000008064E94840000000A0F22C4440000000C060E94840000000C0F22C4440000000205DE9484000000080002D4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,"{""amenity"": ""restaurant"", ""cuisine"": ""tea;international;kebab;regional;turkish"", ""name:ru"": ""Бакинская телебашня""}",153575858,1535696977
728,,,,,,,,0103000020E61000000100000005000000000000C02FE9484000000020002D4440000000C02FE9484000000060FE2C4440000000C02CE9484000000060FE2C4440000000C02CE9484000000020002D4440000000C02FE9484000000020002D4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222455,1385831969
729,Bakı Televiziya Qulləsi,,,,,,,0103000020E61000000100000009000000000000A066E94840000000E0002D4440000000C066E9484000000040FF2C44400000004065E9484000000000FE2C44400000000063E9484000000000FE2C44400000006061E9484000000020FF2C44400000006061E94840000000C0002D4440000000E062E9484000000000022D44400000000065E9484000000020022D4440000000A066E94840000000E0002D4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,"{""tourism"": ""attraction"", ""man_made"": ""tower"", ""wikidata"": ""Q1407274"", ""wikipedia"": ""az:Bakı Televiziya Qülləsi"", ""wikimedia_commons"": ""Category:Baku TV Tower""}",249222477,1693943800
730,,,,,,,,0103000020E610000001000000080000000000002023E94840000000E0022D44400000008023E94840000000E0012D4440000000A023E94840000000E0002D44400000008023E94840000000C0FF2C44400000004023E94840000000C0FE2C4440000000401BE94840000000C0FE2C4440000000001BE94840000000E0022D44400000002023E94840000000E0022D4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222478,1658438114
731,,,,,,,,0103000020E610000001000000050000000000006024E9484000000080062D4440000000C01EE9484000000060062D4440000000801EE9484000000020122D44400000000024E9484000000040122D44400000006024E9484000000080062D4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249222456,1658438114
732,,,,,,,,0103000020E61000000100000005000000000000E0A9E9484000000060D52C444000000020A9E9484000000020D42C444000000080A4E94840000000E0D52C444000000040A5E9484000000020D72C4440000000E0A9E9484000000060D52C4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,1081626772,1658870785
733,,,,,,,,0103000020E6100000010000000500000000000080CCE9484000000020D82C4440000000E0D0E94840000000E0D32C4440000000C0CFE9484000000040D32C444000000060CBE9484000000080D72C444000000080CCE9484000000020D82C4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,1081613078,1658866083
734,,,,,,,,0103000020E61000000100000005000000000000E0EBE94840000000C0D82C444000000020ECE9484000000000D72C4440000000A0E9E94840000000C0D62C444000000060E9E9484000000080D82C4440000000E0EBE94840000000C0D82C4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249230209,1658866083
735,,,,,,,,0103000020E61000000100000005000000000000A04FEA484000000060292D4440000000A056EA484000000040202D4440000000A052EA4840000000801E2D4440000000C04BEA4840000000A0272D4440000000A04FEA484000000060292D4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,370704438,1442313766
736,,,,,,,,0103000020E6100000010000000500000000000020ABE94840000000007D2D4440000000E0A8E94840000000E0762D444000000020A4E9484000000000782D444000000060A6E94840000000007E2D444000000020ABE94840000000007D2D4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249230213,1440220942
737,,,,,,,,0103000020E61000000100000005000000000000C0B3E94840000000807B2D444000000060B2E9484000000000792D4440000000C0ACE94840000000A07A2D444000000020AEE94840000000407D2D4440000000C0B3E94840000000807B2D4440,2025-02-23 03:14:27.516270,2025-02-23 03:14:27.516270,,249230187,1440220941
